Dataset,Experiment,Repository,URL,2D images,3D acquisitions,Assets
Cryo-FIB-SEM volume (ROI6),U2OS Cell Mitochondrial Pearling Cryo-FIB-SEM,Zenodo,https://doi.org/10.5281/zenodo.17769238,0,1,1
Cultured Mouse Cerebellar Granule Neurons,Mouse Cerebellar Granule Neuron FIB-SEM (jrc_mus-granule-neurons-1),OpenOrganelle,https://doi.org/10.25378/janelia.24222844,0,1,1
Cultured mouse cerebellar granule neurons (jrc_mus-granule-neurons-2),Cultured Mouse Cerebellar Granule Neuron FIB-SEM (jrc_mus-granule-neurons-2),OpenOrganelle,https://doi.org/10.25378/janelia.24222868,0,1,1
Cultured mouse cerebellar granule neurons (jrc_mus-granule-neurons-3),Cultured Mouse Cerebellar Granule Neuron FIB-SEM (jrc_mus-granule-neurons-3),OpenOrganelle,https://doi.org/10.25378/janelia.24222892,0,1,1
Curved crease origami at cellular scales enables hyper-extensibility of Lacrymaria olor,Lacrymaria olor Cell Hyperextensibility TEM,Dryad,https://doi.org/10.5061/dryad.4xgxd25g0,4,6,10
Cytoklepty in the plankton: a host strategy to optimize the bioenergetic machinery of endosymbiotic algae,Phaeocystis-Acantharia Photosymbiosis FIB-SEM,EMPIAR,https://doi.org/10.6019/EMPIAR-10672,0,8,8
Cytotoxic T Lymphocyte Attacking ID8 Ovarian Cancer Cell - jrc_ctl-id8-2,Mouse Cytotoxic T Lymphocyte Attacking Ovarian Cancer Cell FIB-SEM,figshare,https://doi.org/10.6084/m9.figshare.14447541,0,1,1
Cytotoxic T Lymphocyte Attacking ID8 Ovarian Cancer Cell - jrc_ctl-id8-3,Mouse Cytotoxic T Lymphocyte Attacking Ovarian Cancer Cell FIB-SEM,figshare,https://doi.org/10.6084/m9.figshare.14447562,0,1,1
Cytotoxic T Lymphocyte Attacking ID8 Ovarian Cancer Cell - jrc_ctl-id8-4,Mouse Cytotoxic T Lymphocyte Attacking Ovarian Cancer Cell FIB-SEM,figshare,https://doi.org/10.6084/m9.figshare.14447565,0,1,1
Cytotoxic T Lymphocyte Attacking ID8 Ovarian Cancer Cell - jrc_ctl-id8-5,Mouse Cytotoxic T Lymphocyte Attacking Ovarian Cancer Cell FIB-SEM,figshare,https://doi.org/10.6084/m9.figshare.14447568,0,1,1
D. melanogaster whole larva ('igor'),Drosophila melanogaster Whole Larva FIB-SEM,OpenOrganelle,https://doi.org/10.25378/janelia.26426824,0,1,1
