model,organelle,dataset,dataset_label,crop_id,coverage,voxel_nm,source_image,target_nm,infer_s,dice,iou,precision,recall,f1,accuracy,specificity,tp,fp,fn,tn,gt_area,pred_area,eval_area,gt_frac,cldice,boundary_f1,status
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00216,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0953.tif,20.0,0.191,0.0,0.0,0.0,0.0,0.0,0.99773,0.999824,0,2950,35136,16739130,35136,2950,2635357,0.013333,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00217,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0953.tif,20.0,0.189,0.0,0.0,0.0,0.0,0.0,0.998911,0.999899,0,1687,16590,16758939,16590,1687,2375176,0.006985,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00218,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0987.tif,20.0,0.3,0.000578,0.000289,0.02809,0.000292,0.000578,0.998969,0.99999,5,173,17130,16759908,17135,178,2738960,0.006256,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00219,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_0987.tif,20.0,0.267,0.0,0.0,0.0,0.0,0.0,0.999738,0.999994,0,102,4298,16772816,4298,102,2573250,0.00167,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00220,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1021.tif,20.0,0.239,0.0,0.0,0.0,0.0,0.0,0.99837,0.999113,0,14864,12491,16749861,12491,14864,2923074,0.004273,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00221,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1021.tif,20.0,0.272,0.0,0.0,0.0,0.0,0.0,0.999119,0.999543,0,7669,7119,16762428,7119,7669,2722506,0.002615,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00222,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1055.tif,20.0,0.349,0.0,0.0,0.0,0.0,0.0,0.99908,0.999495,0,8467,6961,16761788,6961,8467,2906370,0.002395,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00224,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1089.tif,20.0,0.253,0.0,0.0,0.0,0.0,0.0,0.999006,0.999833,0,2804,13879,16760533,13879,2804,2945180,0.004712,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00225,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1089.tif,20.0,0.157,0.0,0.0,0.0,0.0,0.0,0.999562,0.999938,0,1042,6309,16769865,6309,1042,2719756,0.00232,0.0,0.0,ok
lipidnet_scaled,ld,empiar_13420_macrophage_a431,MacrophageSEM,240801_00226,partial,6,FIB/240801_HumanMP_Control/dataset/TIFs/240801_HumanMP_Control_1123.tif,20.0,0.183,0.0,0.0,0.0,0.0,0.0,0.999555,0.999996,0,68,7390,16769758,7390,68,2983570,0.002477,0.0,0.0,ok
